"fValues" "eqCatch"
"514" 0.663 4917.7
"515" 0.664 4909.95
"516" 0.665 4902.19
"517" 0.666 4894.44
"518" 0.667 4886.67
"519" 0.668 4878.91
"520" 0.669 4871.13
"521" 0.67 4863.35
"522" 0.671 4855.57
"523" 0.672 4847.78
"524" 0.673 4839.99
"525" 0.674 4832.19
"526" 0.675 4824.39
"527" 0.676 4816.58
"528" 0.677 4808.77
"529" 0.678 4800.96
"530" 0.679 4793.13
"531" 0.68 4785.31
"532" 0.681 4777.48
"533" 0.682 4769.64
"534" 0.683 4761.8
"535" 0.684 4753.96
"536" 0.685 4746.11
"537" 0.686 4738.26
"538" 0.687 4730.4
"539" 0.688 4722.54
"540" 0.689 4714.67
"541" 0.69 4706.8
"542" 0.691 4698.92
"543" 0.692 4691.04
"544" 0.693 4683.16
"545" 0.694 4675.27
"546" 0.695 4667.38
"547" 0.696 4659.48
"548" 0.697 4651.58
"549" 0.698 4643.68
"550" 0.699 4635.77
"551" 0.7 4627.85
