"",".id","fValues","eqCatch","maxcatch","fmsy","catch90","fmsy90l","fmsy90r","species"
"31","hake-om",0.67,313437,401947,0.296,361752.3,0.186,0.516,"hake"
"32","hake-om",0.692,305763,401947,0.296,361752.3,0.186,0.516,"hake"
"33","hake-om",0.714,298011,401947,0.296,361752.3,0.186,0.516,"hake"
"34","hake-om",0.736,290193,401947,0.296,361752.3,0.186,0.516,"hake"
"35","mac-om",0.01,85.9494,2013.54,1.21,1812.186,0.61,2.41,"mac"
"36","mac-om",0.11,745.731,2013.54,1.21,1812.186,0.61,2.41,"mac"
"37","mac-om",0.21,1162.57,2013.54,1.21,1812.186,0.61,2.41,"mac"
"38","mac-om",0.31,1438.04,2013.54,1.21,1812.186,0.61,2.41,"mac"
"39","mac-om",0.41,1625.66,2013.54,1.21,1812.186,0.61,2.41,"mac"
"40","mac-om",0.51,1755.86,2013.54,1.21,1812.186,0.61,2.41,"mac"
"41","mac-om",0.61,1846.97,2013.54,1.21,1812.186,0.61,2.41,"mac"
"42","mac-om",0.71,1910.59,2013.54,1.21,1812.186,0.61,2.41,"mac"
"43","mac-om",0.81,1954.32,2013.54,1.21,1812.186,0.61,2.41,"mac"
"44","mac-om",0.91,1983.35,2013.54,1.21,1812.186,0.61,2.41,"mac"
"45","mac-om",1.01,2001.29,2013.54,1.21,1812.186,0.61,2.41,"mac"
"46","mac-om",1.11,2010.73,2013.54,1.21,1812.186,0.61,2.41,"mac"
"47","mac-om",1.21,2013.54,2013.54,1.21,1812.186,0.61,2.41,"mac"
"48","mac-om",1.31,2011.13,2013.54,1.21,1812.186,0.61,2.41,"mac"
"49","mac-om",1.41,2004.56,2013.54,1.21,1812.186,0.61,2.41,"mac"
"50","mac-om",1.51,1994.65,2013.54,1.21,1812.186,0.61,2.41,"mac"
"51","mac-om",1.61,1982.02,2013.54,1.21,1812.186,0.61,2.41,"mac"
"52","mac-om",1.71,1967.18,2013.54,1.21,1812.186,0.61,2.41,"mac"
"53","mac-om",1.81,1950.51,2013.54,1.21,1812.186,0.61,2.41,"mac"
"54","mac-om",1.91,1932.33,2013.54,1.21,1812.186,0.61,2.41,"mac"
"55","mac-om",2.01,1912.9,2013.54,1.21,1812.186,0.61,2.41,"mac"
"56","mac-om",2.11,1892.42,2013.54,1.21,1812.186,0.61,2.41,"mac"
"57","mac-om",2.21,1871.07,2013.54,1.21,1812.186,0.61,2.41,"mac"
"58","mac-om",2.31,1848.98,2013.54,1.21,1812.186,0.61,2.41,"mac"
"59","mac-om",2.41,1826.27,2013.54,1.21,1812.186,0.61,2.41,"mac"
"60","mac-om",2.51,1803.04,2013.54,1.21,1812.186,0.61,2.41,"mac"
"61","mac-om",2.61,1779.37,2013.54,1.21,1812.186,0.61,2.41,"mac"
"62","mac-om",2.71,1755.33,2013.54,1.21,1812.186,0.61,2.41,"mac"
"63","mac-om",2.81,1730.98,2013.54,1.21,1812.186,0.61,2.41,"mac"
"64","mac-om",2.91,1706.36,2013.54,1.21,1812.186,0.61,2.41,"mac"
"65","yel-om",0.01,42.5575,85.684,0.048,77.1156,0.028,0.074,"yel"
"66","yel-om",0.012,48.574,85.684,0.048,77.1156,0.028,0.074,"yel"
"67","yel-om",0.014,53.9358,85.684,0.048,77.1156,0.028,0.074,"yel"
"68","yel-om",0.016,58.7031,85.684,0.048,77.1156,0.028,0.074,"yel"
"69","yel-om",0.018,62.9297,85.684,0.048,77.1156,0.028,0.074,"yel"
"70","yel-om",0.02,66.6642,85.684,0.048,77.1156,0.028,0.074,"yel"
"71","yel-om",0.022,69.9502,85.684,0.048,77.1156,0.028,0.074,"yel"
"72","yel-om",0.024,72.8271,85.684,0.048,77.1156,0.028,0.074,"yel"
"73","yel-om",0.026,75.3305,85.684,0.048,77.1156,0.028,0.074,"yel"
"74","yel-om",0.028,77.4928,85.684,0.048,77.1156,0.028,0.074,"yel"
"75","yel-om",0.03,79.3433,85.684,0.048,77.1156,0.028,0.074,"yel"
"76","yel-om",0.032,80.9087,85.684,0.048,77.1156,0.028,0.074,"yel"
"77","yel-om",0.034,82.2131,85.684,0.048,77.1156,0.028,0.074,"yel"
"78","yel-om",0.036,83.2789,85.684,0.048,77.1156,0.028,0.074,"yel"
"79","yel-om",0.038,84.1263,85.684,0.048,77.1156,0.028,0.074,"yel"
"80","yel-om",0.04,84.7737,85.684,0.048,77.1156,0.028,0.074,"yel"
"81","yel-om",0.042,85.2382,85.684,0.048,77.1156,0.028,0.074,"yel"
"82","yel-om",0.044,85.5354,85.684,0.048,77.1156,0.028,0.074,"yel"
"83","yel-om",0.046,85.6796,85.684,0.048,77.1156,0.028,0.074,"yel"
"84","yel-om",0.048,85.684,85.684,0.048,77.1156,0.028,0.074,"yel"
"85","yel-om",0.05,85.5606,85.684,0.048,77.1156,0.028,0.074,"yel"
"86","yel-om",0.052,85.3208,85.684,0.048,77.1156,0.028,0.074,"yel"
"87","yel-om",0.054,84.9747,85.684,0.048,77.1156,0.028,0.074,"yel"
"88","yel-om",0.056,84.5319,85.684,0.048,77.1156,0.028,0.074,"yel"
"89","yel-om",0.058,84.0013,85.684,0.048,77.1156,0.028,0.074,"yel"
"90","yel-om",0.06,83.3909,85.684,0.048,77.1156,0.028,0.074,"yel"
"91","yel-om",0.062,82.7084,85.684,0.048,77.1156,0.028,0.074,"yel"
"92","yel-om",0.064,81.9606,85.684,0.048,77.1156,0.028,0.074,"yel"
"93","yel-om",0.066,81.154,85.684,0.048,77.1156,0.028,0.074,"yel"
"94","yel-om",0.068,80.2947,85.684,0.048,77.1156,0.028,0.074,"yel"
"95","yel-om",0.07,79.3882,85.684,0.048,77.1156,0.028,0.074,"yel"
"96","yel-om",0.072,78.4396,85.684,0.048,77.1156,0.028,0.074,"yel"
"97","yel-om",0.074,77.4537,85.684,0.048,77.1156,0.028,0.074,"yel"
